yaw,ang_speed, meas_yaw, odom, imu, imu_int, meas_x, meas_y, odom_x, odom_y, time
-1.5708,1,-1.3816,-1.35749,-1.28461,-1.16103,0.063,-0.329,0.0691438,-0.271145,Fri Jul 29 16:21:53 2022
-1.5708,1,-1.36134,-1.35914,-1.2559,-1.07444,0.071,-0.334,0.0687508,-0.272461,Fri Jul 29 16:22:35 2022
-1.5708,1,-1.40226,-1.36376,-1.27452,-1.13525,0.057,-0.335,0.0665976,-0.269199,Fri Jul 29 16:23:09 2022
-1.5708,1,-1.37796,-1.34825,-1.2708,-1.15507,0.066,-0.338,0.0680495,-0.270657,Fri Jul 29 16:23:46 2022
-1.5708,1,-1.31806,-1.3268,-1.2596,-1.13921,0.086,-0.333,0.0733259,-0.272308,Fri Jul 29 16:24:28 2022
-1.5708,1,-1.36698,-1.3235,-1.28179,-1.16448,0.068,-0.329,0.0699437,-0.263922,Fri Jul 29 16:25:17 2022
-1.5708,1,-1.36239,-1.34462,-1.22943,0.0694793,0.07,-0.331,0.0733861,-0.267584,Fri Jul 29 16:25:55 2022
-1.5708,1,-1.33954,-1.34561,-1.24996,-1.13901,0.077,-0.327,0.0706047,-0.270981,Fri Jul 29 16:26:30 2022
-1.5708,1,-1.36031,-1.33439,-1.27285,-1.13127,0.072,-0.337,0.0667107,-0.263087,Fri Jul 29 16:27:10 2022
-3.14159,1,-2.55592,-2.80839,-2.61063,-2.46512,-0.297,-0.197,-0.247725,-0.105451,Fri Jul 29 16:32:02 2022
-3.14159,1,-2.78045,-2.83578,-2.63701,-2.47649,-0.323,-0.122,-0.267524,-0.0632768,Fri Jul 29 16:36:07 2022
-3.14159,1,-2.70027,-2.82918,-2.70686,-2.54726,-0.326,-0.154,-0.260945,-0.107173,Mon Aug  1 10:09:15 2022
-3.14159,1,-2.65699,-2.80278,-2.70084,-2.4034,-0.321,-0.169,-0.242428,-0.108368,Mon Aug  1 10:13:08 2022
-3.14159,1,-2.67185,-2.8239,-2.67094,-2.45609,-0.327,-0.166,-0.252355,-0.107797,Mon Aug  1 10:14:08 2022
-3.14159,1,-2.68639,-2.80146,-2.71432,-2.49478,-0.333,-0.163,-0.243231,-0.106202,Mon Aug  1 10:15:03 2022
-3.14159,1,-2.60213,-2.79816,-2.65507,-2.53305,-0.309,-0.185,-0.247228,-0.104743,Mon Aug  1 10:16:08 2022
-3.14159,1,-2.63263,-2.847,-2.70662,-2.58189,-0.319,-0.178,-0.260051,-0.103794,Mon Aug  1 10:17:10 2022
-3.14159,1,-2.65426,-2.82786,-2.65861,-1.99866,-0.317,-0.168,-0.253135,-0.109472,Mon Aug  1 10:18:49 2022
-3.14159,1,-2.59121,-2.8239,-2.67035,-2.53677,-0.308,-0.189,-0.251767,-0.110365,Mon Aug  1 10:19:37 2022
-3.14159,1,-2.62,-2.82357,-2.64617,-2.51703,-0.308,-0.177,-0.25431,-0.109502,Mon Aug  1 10:21:36 2022
-3.14159,1,-2.71237,-2.83908,-2.69314,-2.39098,-0.319,-0.146,-0.258287,-0.075628,Mon Aug  1 10:24:03 2022
-3.14159,1,-2.60359,-2.80146,-2.673,-2.54405,-0.305,-0.182,-0.244778,-0.106242,Mon Aug  1 10:25:35 2022
-3.14159,1,-2.61964,-2.81103,-2.6833,-2.55914,-0.306,-0.176,-0.250421,-0.108475,Mon Aug  1 10:26:37 2022
-3.14159,1,-2.60655,-2.8206,-2.68618,-2.18041,-0.302,-0.179,-0.253855,-0.110154,Mon Aug  1 10:27:36 2022
-3.14159,1,-2.64454,-2.8173,-2.67054,-2.56139,-0.306,-0.166,-0.251545,-0.110591,Mon Aug  1 10:29:17 2022
-3.14159,1,-2.6518,-2.81466,-2.66428,-2.52034,-0.317,-0.169,-0.244944,-0.0968452,Mon Aug  1 10:52:38 2022
-3.14159,1,-2.65542,-2.80278,-2.66272,-2.47265,-0.316,-0.167,-0.244981,-0.11282,Mon Aug  1 10:55:33 2022
-3.14159,0.75,-2.57354,-2.75954,-2.6006,-2.54691,-0.293,-0.187,-0.249587,-0.128388,Mon Aug  1 10:57:27 2022
-3.14159,0.75,-2.56401,-2.74931,-2.57413,-2.48309,-0.29,-0.189,-0.241118,-0.125383,Mon Aug  1 10:58:47 2022
-3.14159,0.75,-2.61767,-2.76185,-2.57053,-2.44411,-0.315,-0.182,-0.255578,-0.122444,Mon Aug  1 10:59:37 2022
-3.14159,0.75,-2.58576,-2.75789,-2.58794,-2.46249,-0.293,-0.182,-0.243088,-0.122911,Mon Aug  1 11:00:27 2022
-3.14159,0.75,-2.52874,-2.74535,-2.56327,-2.44358,-0.283,-0.199,-0.238355,-0.125657,Mon Aug  1 11:01:27 2022
-3.14159,0.75,-2.55912,-2.76515,-2.58666,-2.48528,-0.293,-0.193,-0.249169,-0.124979,Mon Aug  1 11:02:20 2022
-3.14159,0.75,-2.48607,-2.75756,-2.57004,-2.48494,-0.277,-0.213,-0.24328,-0.125786,Mon Aug  1 11:03:19 2022
